| text                                                                                                                                                                                                                                                                                                                                                                                                    |   Emotion |   EmotionalPolarity |   Empathy |
| It's scary because all you can do is hide in your home hoping it passes by without doing much damage. I hope the people affected by the hurricane are getting help right now.                                                                                                                                                                                                                           |         4 |                   2 |         3 |
| I follow college basketball like a crazy person.   Skal Labiesse was trapped in the hurricane in this article.   His whole home collapsed on him and he was covered with rock and materials for three days.   His story is so frightening.   He thought he was dying                                                                                                                                    |         4 |                   2 |         3 |
| Yeah it's definitely very different. The air pressure feels different when you're in a hurricane. All you hear are sounds of things ripping apart ourside                                                                                                                                                                                                                                               |         2 |                   2 |         2 |
| Wow.   Are you on the gulf or the Atlantic?                                                                                                                                                                                                                                                                                                                                                             |         2 |                   1 |         1 |
| Atlantic, i've lived in Florida for about 8 years now and luckyily haven't had any MAJOR hurricane yet.                                                                                                                                                                                                                                                                                                 |         2 |                   1 |         1 |
| That's good to hear.   Haiti has such a corrupt government - I wonder how much their President stole from the people so he had fun for a long time.                                                                                                                                                                                                                                                     |         3 |                   1 |         2 |
| I didn't think of that. That's why i don't even donate but i feel bad because i can't help                                                                                                                                                                                                                                                                                                              |         2 |                   2 |         3 |
| It's gotten to that point everywhere unless a church is doing all the work.   American Cancer Society, March of Dimes, United Way - hardly any goes to the people or cause you are donating to - it's all taken in outlandish salaries of that charity                                                                                                                                                  |         3 |                   2 |         2 |
| Sad that people are so corrupt. I really hope those people get help. It was nice talking to you! bye!                                                                                                                                                                                                                                                                                                   |         3 |                   2 |         2 |
| You too goodbye                                                                                                                                                                                                                                                                                                                                                                                         |         1 |                   1 |         0 |
| what a sad thing to happen to someone who has gone through so much                                                                                                                                                                                                                                                                                                                                      |         3 |                   2 |         3 |
| and at such a young age too.                                                                                                                                                                                                                                                                                                                                                                            |         2 |                   2 |         3 |
| what a freak accident                                                                                                                                                                                                                                                                                                                                                                                   |         3 |                   2 |         2 |
| yeah, they didn't really elaborate on what happened though                                                                                                                                                                                                                                                                                                                                              |         2 |                   1 |         2 |
| he had the true american dream story                                                                                                                                                                                                                                                                                                                                                                    |         3 |                   0 |         2 |
| more or less, most people can't throw 94 mph fast balls though.                                                                                                                                                                                                                                                                                                                                         |         2 |                   1 |         2 |
| yup but going from poor to crazy rich all from hard work. love to see it                                                                                                                                                                                                                                                                                                                                |         3 |                   0 |         2 |
| seemed to be a pretty altruistic guy too. There wasn't anything but goodwill toward him.                                                                                                                                                                                                                                                                                                                |         2 |                   0 |         2 |
| I wonder if the team retired his number to honor him                                                                                                                                                                                                                                                                                                                                                    |         2 |                   1 |         2 |
| hm, i wouldn't know. Do you follow baseball?                                                                                                                                                                                                                                                                                                                                                            |         2 |                   1 |         1 |
| yes, I watch the yankees almost every night. How about you?                                                                                                                                                                                                                                                                                                                                             |         1 |                   1 |         1 |
| I like to play baseball, but watching it never really thrills me. Are the Yankees in the playoffs this year?                                                                                                                                                                                                                                                                                            |         1 |                   1 |         1 |
| yes! they made it to the playoffs!                                                                                                                                                                                                                                                                                                                                                                      |         3 |                   0 |         1 |
| that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.                                                                                                                                                                                                                                                                                            |         2 |                   0 |         2 |
| I heard about it in the news when it happened but I don't follow baseball to close just the yankees. I bet he was a pretty big deal on his team.                                                                                                                                                                                                                                                        |         2 |                   1 |         2 |
| do you think it was just a freak accident? Or, was there more to the boat wreck than was indicated?                                                                                                                                                                                                                                                                                                     |         2 |                   1 |         2 |
| I remember hearing he jumped into the water head first into a rock and it killed him instantly.                                                                                                                                                                                                                                                                                                         |         2 |                   1 |         2 |
| huh, the article made it sound like it was a wreck at high speed or something. The rock story seems less conspicuous.                                                                                                                                                                                                                                                                                   |         2 |                   1 |         2 |
| i couldn't imagine being the family of him that had to be horrible                                                                                                                                                                                                                                                                                                                                      |         4 |                   2 |         4 |
| no doubt. well thanks for chatting with me. Go Yankees! bye                                                                                                                                                                                                                                                                                                                                             |         2 |                   0 |         2 |
| bye                                                                                                                                                                                                                                                                                                                                                                                                     |         1 |                   1 |         1 |
| What did you think about this article                                                                                                                                                                                                                                                                                                                                                                   |         1 |                   1 |         1 |
| this just made me so sad he was a great guy                                                                                                                                                                                                                                                                                                                                                             |         4 |                   2 |         4 |
| It makes me sad too...                                                                                                                                                                                                                                                                                                                                                                                  |         3 |                   2 |         4 |
| crazy how fast they were going                                                                                                                                                                                                                                                                                                                                                                          |         3 |                   1 |         3 |
| It is... seems so dangerous.                                                                                                                                                                                                                                                                                                                                                                            |         3 |                   2 |         2 |
| yeah i wonder if eventually they will discover drugs or alchol                                                                                                                                                                                                                                                                                                                                          |         2 |                   1 |         2 |
| True but man he was such a great guy with good morals guess you really never now people                                                                                                                                                                                                                                                                                                                 |         3 |                   0 |         3 |
| That is true... It's hard to think about.. I hope there was no suffering for him. I hope it was quick as could be.                                                                                                                                                                                                                                                                                      |         4 |                   1 |         4 |
| I agree probably upon impact hopefully                                                                                                                                                                                                                                                                                                                                                                  |         3 |                   1 |         4 |
| Yes I would hope... Did he have much family did it say?                                                                                                                                                                                                                                                                                                                                                 |         2 |                   1 |         3 |
| his family mother was in cuba came to see him once at a game                                                                                                                                                                                                                                                                                                                                            |         1 |                   1 |         3 |
| Oh yah that's right... Poor lady. It must be hard with no real closure, so suddenly like that                                                                                                                                                                                                                                                                                                           |         4 |                   2 |         4 |
| and being so far away and speaking spanish its not easy to come here form cuba i wonder if the funeral will be in cuba                                                                                                                                                                                                                                                                                  |         3 |                   2 |         4 |
| I would hope so for her sake, and I';m sure he has other family down there                                                                                                                                                                                                                                                                                                                              |         3 |                   1 |         4 |
| yeah very true feel bad for his friends families two                                                                                                                                                                                                                                                                                                                                                    |         3 |                   2 |         4 |
| Yah... his mom shouldn't have to deal with travelling to a new foreign country on top of her grieving                                                                                                                                                                                                                                                                                                   |         3 |                   2 |         4 |
| Im sure the team will take care alot of it they helped her get her visa and loved him                                                                                                                                                                                                                                                                                                                   |         3 |                   0 |         4 |
| That's true I didn't think about that... I bet they will be good support for her                                                                                                                                                                                                                                                                                                                        |         2 |                   0 |         4 |
| yeah that would be a great support for them                                                                                                                                                                                                                                                                                                                                                             |         2 |                   0 |         3 |
| And I'm sure they'd like to get to know his mom more, now that he is not around. See where he came from kind og                                                                                                                                                                                                                                                                                         |         2 |                   1 |         3 |
| oh yes agreed, this has been a great conversation!                                                                                                                                                                                                                                                                                                                                                      |         2 |                   0 |         1 |
| It has been for me as well! goodbye :)                                                                                                                                                                                                                                                                                                                                                                  |         2 |                   0 |         1 |
| bye!                                                                                                                                                                                                                                                                                                                                                                                                    |         2 |                   1 |         1 |
| Sounded like a very kindhearted man.                                                                                                                                                                                                                                                                                                                                                                    |         3 |                   0 |         3 |
| Yes so sad that his life ended this way                                                                                                                                                                                                                                                                                                                                                                 |         3 |                   1 |         3 |
| I was wondering if no drugs or alcohol were involved what happened?                                                                                                                                                                                                                                                                                                                                     |         1 |                   1 |         2 |
| Maybe an inexperienced person trying to drive the boat?                                                                                                                                                                                                                                                                                                                                                 |         2 |                   1 |         3 |
| That could have been it.                                                                                                                                                                                                                                                                                                                                                                                |         1 |                   1 |         2 |
| Boating can be quite dangerous if you dont know what you are doing                                                                                                                                                                                                                                                                                                                                      |         2 |                   2 |         2 |
| It was nice that he saved his mom not knowing it was her.                                                                                                                                                                                                                                                                                                                                               |         3 |                   0 |         3 |
| Yes very nice.  It sounds like they had a hard life in cuba                                                                                                                                                                                                                                                                                                                                             |         3 |                   0 |         3 |
| Yeah, It was nice for the team to get the visa.                                                                                                                                                                                                                                                                                                                                                         |         3 |                   0 |         3 |
| Im sure his life was quite different after beginning his baseball career                                                                                                                                                                                                                                                                                                                                |         2 |                   0 |         3 |
| yeah, so sad that it was cut so short.                                                                                                                                                                                                                                                                                                                                                                  |         3 |                   2 |         4 |
| very sad. from the reading material he sounded like a great person                                                                                                                                                                                                                                                                                                                                      |         3 |                   1 |         4 |
| yeah and did not change much when he got his baseball money.                                                                                                                                                                                                                                                                                                                                            |         3 |                   1 |         3 |
| yes it sounds like he stayed true to himself                                                                                                                                                                                                                                                                                                                                                            |         2 |                   0 |         3 |
| He must had a lot of trust for the driver of the boat.                                                                                                                                                                                                                                                                                                                                                  |         2 |                   0 |         3 |
| I dont know how the driver managed to hit the rocks at full speed. Youd have to see something like that coming                                                                                                                                                                                                                                                                                          |         2 |                   2 |         2 |
| That what I was thinking. It is not a pretty way to die.                                                                                                                                                                                                                                                                                                                                                |         3 |                   2 |         3 |
| No not at all. A real tragedy for sure                                                                                                                                                                                                                                                                                                                                                                  |         4 |                   2 |         4 |
| He was a very good player too.                                                                                                                                                                                                                                                                                                                                                                          |         2 |                   0 |         3 |
| One of the best.                                                                                                                                                                                                                                                                                                                                                                                        |         3 |                   0 |         3 |
| It was nice chatting! bye                                                                                                                                                                                                                                                                                                                                                                               |         1 |                   0 |         1 |
| You too, goodbye                                                                                                                                                                                                                                                                                                                                                                                        |         1 |                   0 |         1 |
| Hey how are you? Are you a baseball fan?                                                                                                                                                                                                                                                                                                                                                                |         1 |                   1 |         1 |
| Hey there. I am not but i do feel really sorry for the player! You?                                                                                                                                                                                                                                                                                                                                     |         3 |                   1 |         2 |
| I am not a fan but yes such a tragedy. I can                                                                                                                                                                                                                                                                                                                                                            |         3 |                   2 |         4 |
| I feel bad not only for him but his family as well                                                                                                                                                                                                                                                                                                                                                      |         3 |                   2 |         4 |
| Exactly. He was so young too. I can't even fathom losing a son so young. Parents should never have to bury their children but you hear it happening almost every day these days.                                                                                                                                                                                                                        |         4 |                   2 |         4 |
| Yeah accidents happen and you just never know what will happen. :(                                                                                                                                                                                                                                                                                                                                      |         3 |                   2 |         3 |
| Most definitely. It makes you just want to hug your loved ones because you never know what'll happen.                                                                                                                                                                                                                                                                                                   |         3 |                   1 |         3 |
| Yup, i try to live by the motto live everyday like it's your last but it's not easy to follow                                                                                                                                                                                                                                                                                                           |         3 |                   1 |         2 |
| No, it's really not. You take each day for granted. I am in a season of my life where I just keep wishing the days away and hoping time speeds up. But it's no way to live because you miss the small moments!                                                                                                                                                                                          |         4 |                   2 |         2 |
| I totally agree. If you don't mind me asking , why are you hoping time speeds up?                                                                                                                                                                                                                                                                                                                       |         2 |                   1 |         2 |
| Oh, nothing bad. Really good actually but I am 7 months pregnant and it's just not fun. haha So I just want it to be December already.                                                                                                                                                                                                                                                                  |         3 |                   1 |         1 |
| Oh wow, congrats to you!                                                                                                                                                                                                                                                                                                                                                                                |         3 |                   0 |         1 |
| Thank you much. It's a great thing but just exhausting as expected!                                                                                                                                                                                                                                                                                                                                     |         3 |                   0 |         1 |
| I can't even imagine! But back to the sotry, i hope the family is fine now.                                                                                                                                                                                                                                                                                                                             |         2 |                   1 |         3 |
| Yes, that would be a hard loss. Unexpected deaths are obviously way harder.                                                                                                                                                                                                                                                                                                                             |         3 |                   2 |         4 |
| True. I heard of KINDA a similar incident with a football player that got into an accident and lost his arm. It's all so terrible                                                                                                                                                                                                                                                                       |         4 |                   2 |         3 |
| Oh man. Especially when someone does it for a living, it's hard to have any sort of life altering injury. It definitely crushes their spirits.                                                                                                                                                                                                                                                          |         3 |                   2 |         3 |
| For sure! It's very heartbreaking. Well it was nice talking to you! bye                                                                                                                                                                                                                                                                                                                                 |         3 |                   1 |         4 |
| goodbye.                                                                                                                                                                                                                                                                                                                                                                                                |         1 |                   1 |         1 |
| Sad about what happened to those guys.  I hope no one makes this about alcohol or anything.                                                                                                                                                                                                                                                                                                             |         2 |                   2 |         3 |
| Yes after all the struggle to get to where he was                                                                                                                                                                                                                                                                                                                                                       |         2 |                   2 |         4 |
| Right. I can't imagine being his family either.  To see their child go like that after being so successful has to sting.                                                                                                                                                                                                                                                                                |         3 |                   2 |         3 |
| absolutely growing up in Cuba and then achieving so much                                                                                                                                                                                                                                                                                                                                                |         2 |                   2 |         4 |
| I don't remember if it said so in the article or not, but was it night when they ran into the rocks? I just don't get why they didn't see them?                                                                                                                                                                                                                                                         |         3 |                   1 |         3 |
| I remember when this happened saw it on ESPN but I think it was night                                                                                                                                                                                                                                                                                                                                   |         1 |                   1 |         2 |
| At least it was probably instant.  They probably had no idea the rocks were there and absolutely flew into them without any chance to realize what was going on.                                                                                                                                                                                                                                        |         2 |                   1 |         4 |
